state,funding_ics,raw_funding,econ_impact,jobs,pop_2024
KY,NIMHD,1839215.3120176059,4807870.969055533,15.817251683351408,4584046
KY,NINDS,20911683.227873225,54664983.51141101,179.84047575970956,4584046
KY,NINR,1514196.685002541,3958243.62471062,13.022091491021863,4584046
KY,NLM,542297.9694121948,1417614.7005075053,4.663762536944874,4584046
KY,OD,13233590.181382552,34593771.39463398,113.80887555988997,4584046
LA,FIC,912626.6376559185,2525100.7618018477,8.943741049028,4614878
LA,NCATS,156047.04789478116,431758.7316190098,1.5292610693688558,4614878
LA,NCCIH,1054573.5898607054,2917846.6475327145,10.334821180634904,4614878
LA,NCI,16284300.237427587,45056211.6404512,159.58614232679042,4614878
LA,NEI,2156478.846128264,5966652.903266518,21.133492692057,4614878
LA,NHGRI,47225.11741851333,130664.80316195753,0.4628061507014307,4614878
LA,NHLBI,19972940.49644969,55262124.92826969,195.7348168652069,4614878
LA,NIA,19685700.48265802,54467374.974982895,192.91986473004863,4614878
